"","x"
"1","0"
"2","1"
"3","1"
"4","0"
"5","1"
"6","1"
"7","1"
"8","0"
"9","1"
"10","0"
"11","1"
"12","0"
"13","1"
"14","1"
"15","1"
"16","1"
"17","1"
"18","0"
"19","1"
"20","1"
"21","0"
"22","0"
"23","1"
"24","0"
"25","1"
"26","0"
"27","0"
"28","1"
"29","1"
"30","1"
"31","1"
"32","0"
"33","1"
"34","0"
"35","1"
"36","0"
"37","1"
"38","1"
"39","1"
"40","1"
"41","1"
"42","1"
"43","0"
"44","1"
"45","1"
"46","0"
"47","0"
"48","0"
"49","1"
"50","1"
"51","1"
"52","0"
"53","1"
"54","0"
"55","0"
"56","0"
"57","1"
"58","1"
"59","1"
"60","0"
"61","1"
"62","0"
"63","0"
"64","0"
"65","0"
"66","0"
"67","1"
"68","1"
"69","0"
"70","1"
"71","1"
"72","1"
"73","1"
"74","1"
"75","1"
"76","1"
"77","0"
"78","0"
"79","1"
"80","0"
"81","1"
"82","1"
"83","0"
"84","1"
"85","0"
"86","1"
"87","0"
"88","0"
"89","1"
"90","0"
"91","0"
"92","0"
"93","1"
"94","0"
"95","0"
"96","0"
"97","1"
"98","0"
"99","1"
"100","1"
"101","0"
"102","0"
"103","1"
"104","1"
"105","1"
"106","0"
"107","0"
"108","0"
"109","1"
"110","1"
"111","1"
"112","1"
"113","1"
"114","1"
"115","1"
"116","1"
"117","1"
"118","0"
"119","1"
"120","0"
"121","0"
"122","1"
"123","0"
"124","0"
"125","0"
"126","1"
"127","0"
"128","1"
"129","0"
"130","1"
"131","0"
"132","1"
"133","0"
"134","1"
"135","1"
"136","0"
"137","1"
"138","0"
"139","0"
"140","1"
"141","0"
"142","1"
"143","0"
"144","1"
"145","0"
"146","0"
"147","1"
"148","0"
"149","0"
"150","0"
"151","0"
"152","1"
"153","1"
"154","0"
"155","0"
"156","0"
"157","0"
"158","0"
"159","1"
"160","1"
"161","0"
"162","0"
"163","1"
"164","0"
"165","0"
"166","1"
"167","0"
"168","0"
"169","0"
"170","1"
"171","0"
"172","0"
"173","1"
"174","0"
"175","1"
"176","1"
"177","0"
"178","1"
"179","0"
"180","0"
"181","1"
"182","0"
"183","1"
"184","1"
"185","0"
"186","0"
"187","1"
"188","1"
"189","0"
"190","0"
"191","1"
"192","1"
"193","0"
"194","1"
"195","1"
"196","1"
"197","1"
"198","0"
"199","0"
"200","0"
"201","1"
"202","1"
"203","1"
"204","0"
"205","1"
"206","0"
"207","1"
"208","0"
"209","0"
"210","0"
"211","1"
"212","1"
"213","0"
"214","1"
"215","0"
"216","0"
"217","1"
"218","0"
"219","0"
"220","0"
"221","1"
"222","1"
"223","0"
"224","1"
"225","0"
"226","0"
"227","1"
"228","1"
"229","0"
"230","0"
"231","0"
"232","0"
"233","0"
"234","0"
"235","0"
"236","0"
"237","0"
"238","0"
"239","1"
"240","1"
"241","0"
"242","1"
"243","1"
"244","0"
"245","0"
"246","1"
"247","1"
"248","0"
"249","1"
"250","1"
"251","0"
"252","1"
"253","0"
"254","0"
"255","0"
"256","0"
"257","1"
"258","0"
"259","0"
"260","0"
"261","0"
"262","0"
"263","1"
"264","0"
"265","1"
"266","1"
"267","0"
"268","1"
"269","1"
"270","0"
"271","0"
"272","1"
"273","1"
"274","0"
"275","1"
"276","0"
"277","1"
"278","1"
"279","0"
