"","x"
"1","0"
"2","1"
"3","1"
"4","0"
"5","0"
"6","1"
"7","1"
"8","1"
"9","1"
"10","0"
"11","1"
"12","0"
"13","1"
"14","1"
"15","1"
"16","1"
"17","1"
"18","1"
"19","1"
"20","1"
"21","0"
"22","0"
"23","1"
"24","0"
"25","0"
"26","0"
"27","0"
"28","0"
"29","1"
"30","1"
"31","1"
"32","1"
"33","0"
"34","0"
"35","1"
"36","0"
"37","1"
"38","0"
"39","0"
"40","0"
"41","1"
"42","1"
"43","0"
"44","1"
"45","1"
"46","1"
"47","0"
"48","0"
"49","1"
"50","1"
"51","0"
"52","0"
"53","0"
"54","1"
"55","0"
"56","1"
"57","1"
"58","1"
"59","1"
"60","0"
"61","0"
"62","0"
"63","0"
"64","1"
"65","0"
"66","0"
"67","1"
"68","1"
"69","0"
"70","0"
"71","1"
"72","1"
"73","0"
"74","1"
"75","0"
"76","0"
"77","0"
"78","1"
"79","0"
"80","0"
"81","1"
"82","1"
"83","1"
"84","1"
"85","0"
"86","1"
"87","1"
"88","0"
"89","1"
"90","0"
"91","0"
"92","1"
"93","1"
"94","0"
"95","0"
"96","0"
"97","1"
"98","1"
"99","1"
"100","1"
"101","0"
"102","1"
"103","1"
"104","1"
"105","1"
"106","0"
"107","0"
"108","1"
"109","1"
"110","1"
"111","1"
"112","0"
"113","1"
"114","0"
"115","1"
"116","1"
"117","0"
"118","1"
"119","1"
"120","1"
"121","0"
"122","0"
"123","0"
"124","1"
"125","0"
"126","1"
"127","0"
"128","1"
"129","0"
"130","1"
"131","0"
"132","1"
"133","0"
"134","1"
"135","0"
"136","0"
"137","1"
"138","1"
"139","0"
"140","0"
"141","1"
"142","1"
"143","1"
"144","0"
"145","1"
"146","0"
"147","1"
"148","0"
"149","0"
"150","0"
"151","1"
"152","1"
"153","1"
"154","0"
"155","0"
"156","0"
"157","0"
"158","0"
"159","1"
"160","1"
"161","0"
"162","0"
"163","1"
"164","1"
"165","0"
"166","0"
"167","0"
"168","0"
"169","0"
"170","1"
"171","0"
"172","1"
"173","1"
"174","1"
"175","1"
"176","1"
"177","0"
"178","1"
"179","0"
"180","0"
"181","1"
"182","0"
"183","1"
"184","1"
"185","1"
"186","0"
"187","1"
"188","1"
"189","0"
"190","0"
"191","1"
"192","1"
"193","1"
"194","1"
"195","1"
"196","1"
"197","0"
"198","0"
"199","0"
"200","0"
"201","1"
"202","0"
"203","1"
"204","1"
"205","0"
"206","0"
"207","1"
"208","0"
"209","0"
"210","0"
"211","1"
"212","0"
"213","0"
"214","0"
"215","1"
"216","0"
"217","1"
"218","1"
"219","0"
"220","0"
"221","1"
"222","1"
"223","0"
"224","1"
"225","0"
"226","0"
"227","1"
"228","0"
"229","0"
"230","0"
"231","1"
"232","0"
"233","0"
"234","0"
"235","0"
"236","0"
"237","0"
"238","0"
"239","1"
"240","1"
"241","0"
"242","1"
"243","1"
"244","0"
"245","1"
"246","1"
"247","1"
"248","1"
"249","0"
"250","1"
"251","1"
"252","1"
"253","0"
"254","0"
"255","0"
"256","0"
"257","1"
"258","1"
"259","0"
"260","0"
"261","1"
"262","0"
"263","0"
"264","0"
"265","1"
"266","1"
"267","0"
"268","1"
"269","1"
"270","0"
"271","0"
"272","0"
"273","1"
"274","0"
"275","1"
"276","0"
"277","1"
"278","1"
"279","0"
