"","x"
"1","0"
"2","0"
"3","0"
"4","1"
"5","1"
"6","1"
"7","1"
"8","0"
"9","1"
"10","1"
"11","0"
"12","1"
"13","0"
"14","0"
"15","0"
"16","1"
"17","1"
"18","0"
"19","0"
"20","1"
"21","0"
"22","1"
"23","0"
"24","0"
"25","1"
"26","0"
"27","1"
"28","0"
"29","0"
"30","1"
"31","0"
"32","1"
"33","0"
"34","0"
"35","0"
"36","0"
"37","1"
"38","0"
"39","1"
"40","0"
"41","1"
"42","0"
"43","1"
"44","0"
"45","0"
"46","0"
"47","0"
"48","1"
"49","0"
"50","1"
"51","1"
"52","1"
"53","1"
"54","0"
"55","1"
"56","0"
"57","0"
"58","1"
"59","1"
"60","0"
"61","0"
"62","0"
"63","0"
"64","1"
"65","0"
"66","1"
"67","1"
"68","1"
"69","0"
"70","1"
"71","1"
"72","1"
"73","0"
"74","1"
"75","1"
"76","1"
"77","0"
"78","0"
"79","1"
"80","0"
"81","0"
"82","1"
"83","1"
"84","0"
"85","0"
"86","0"
"87","0"
"88","0"
"89","0"
"90","1"
"91","1"
"92","1"
"93","0"
"94","1"
"95","1"
"96","0"
"97","0"
"98","0"
"99","1"
"100","1"
"101","0"
"102","0"
"103","0"
"104","1"
"105","0"
"106","0"
"107","1"
"108","0"
"109","0"
"110","1"
"111","0"
"112","1"
"113","1"
"114","1"
"115","0"
"116","1"
"117","1"
"118","0"
"119","0"
"120","1"
"121","1"
"122","0"
"123","1"
"124","0"
"125","0"
"126","0"
"127","1"
"128","0"
"129","1"
"130","1"
"131","1"
"132","1"
"133","1"
"134","0"
"135","0"
"136","1"
"137","0"
"138","1"
"139","1"
"140","0"
"141","1"
"142","0"
"143","0"
"144","0"
"145","0"
"146","0"
"147","1"
"148","1"
"149","1"
"150","0"
"151","1"
"152","0"
"153","0"
"154","1"
"155","1"
"156","0"
"157","0"
"158","0"
"159","1"
"160","1"
"161","1"
"162","0"
"163","0"
"164","1"
"165","0"
"166","1"
"167","0"
"168","0"
"169","0"
"170","1"
"171","0"
"172","0"
"173","1"
"174","1"
"175","1"
"176","1"
"177","1"
"178","0"
"179","1"
"180","0"
"181","1"
"182","0"
"183","1"
"184","1"
"185","1"
"186","1"
