"","x"
"1","1"
"2","1"
"3","0"
"4","0"
"5","0"
"6","0"
"7","0"
"8","1"
"9","1"
"10","0"
"11","0"
"12","0"
"13","0"
"14","1"
"15","0"
"16","0"
"17","1"
"18","0"
"19","1"
"20","1"
"21","0"
"22","0"
"23","0"
"24","0"
"25","1"
"26","0"
"27","0"
"28","0"
"29","0"
"30","1"
"31","1"
"32","1"
"33","1"
"34","0"
"35","0"
"36","0"
"37","0"
"38","0"
"39","1"
"40","1"
"41","0"
"42","0"
"43","0"
"44","1"
"45","0"
"46","1"
"47","0"
"48","0"
"49","0"
"50","1"
"51","0"
"52","1"
"53","0"
"54","1"
"55","1"
"56","0"
"57","1"
"58","1"
"59","1"
"60","0"
"61","0"
"62","1"
"63","1"
"64","0"
"65","0"
"66","1"
"67","1"
"68","0"
"69","0"
"70","1"
"71","1"
"72","0"
"73","1"
"74","0"
"75","1"
"76","0"
"77","0"
"78","0"
"79","0"
"80","1"
"81","1"
"82","1"
"83","0"
"84","0"
"85","1"
"86","1"
"87","1"
"88","1"
"89","0"
"90","1"
"91","1"
"92","0"
"93","0"
"94","0"
"95","0"
"96","0"
"97","1"
"98","0"
"99","0"
"100","1"
"101","1"
"102","0"
"103","0"
"104","0"
"105","1"
"106","0"
"107","1"
"108","1"
"109","0"
"110","1"
"111","0"
"112","0"
"113","0"
"114","1"
"115","0"
"116","1"
"117","0"
"118","0"
"119","1"
"120","0"
"121","1"
"122","1"
"123","1"
"124","1"
"125","1"
"126","0"
"127","0"
"128","1"
"129","1"
"130","0"
"131","1"
"132","1"
"133","1"
"134","1"
"135","0"
"136","0"
"137","1"
"138","1"
"139","1"
"140","1"
"141","0"
"142","0"
"143","0"
"144","1"
"145","0"
"146","0"
"147","1"
"148","1"
"149","0"
"150","0"
"151","0"
"152","1"
"153","1"
"154","0"
"155","0"
"156","1"
"157","1"
"158","0"
"159","0"
"160","1"
"161","0"
"162","1"
"163","1"
"164","1"
"165","1"
"166","1"
"167","0"
"168","1"
"169","1"
"170","0"
"171","0"
"172","0"
"173","1"
"174","1"
"175","0"
"176","1"
"177","1"
"178","1"
"179","1"
"180","0"
"181","0"
"182","1"
"183","1"
"184","0"
"185","0"
"186","1"
"187","0"
"188","1"
"189","1"
"190","1"
"191","0"
"192","1"
"193","1"
"194","1"
"195","0"
"196","0"
"197","0"
"198","0"
"199","1"
"200","0"
"201","1"
"202","0"
"203","1"
"204","1"
"205","0"
"206","1"
"207","1"
"208","0"
"209","0"
"210","1"
"211","1"
"212","1"
"213","0"
"214","1"
"215","0"
"216","1"
"217","0"
"218","1"
"219","0"
"220","0"
"221","1"
"222","1"
"223","1"
"224","1"
"225","1"
"226","1"
"227","0"
"228","1"
"229","1"
"230","0"
"231","0"
"232","1"
"233","1"
"234","1"
"235","0"
"236","1"
"237","0"
"238","0"
"239","0"
"240","1"
"241","0"
"242","1"
"243","0"
"244","0"
"245","0"
"246","0"
"247","1"
"248","0"
"249","1"
"250","0"
"251","1"
"252","0"
"253","0"
"254","0"
"255","0"
"256","0"
"257","1"
"258","1"
"259","0"
"260","0"
"261","0"
"262","1"
"263","0"
"264","1"
"265","0"
"266","1"
"267","0"
"268","0"
"269","0"
"270","0"
"271","1"
"272","0"
"273","0"
"274","1"
"275","0"
"276","0"
"277","0"
"278","0"
"279","1"
"280","0"
"281","1"
"282","0"
"283","0"
"284","1"
"285","0"
"286","1"
"287","0"
"288","0"
"289","0"
"290","1"
"291","1"
"292","1"
"293","0"
"294","0"
"295","1"
"296","0"
"297","0"
"298","0"
"299","1"
"300","0"
"301","1"
"302","1"
"303","0"
"304","0"
"305","0"
"306","0"
"307","0"
"308","0"
"309","0"
"310","1"
"311","1"
"312","1"
"313","0"
"314","0"
"315","0"
"316","1"
"317","1"
"318","0"
"319","1"
"320","0"
"321","0"
"322","1"
"323","0"
"324","0"
"325","0"
"326","1"
"327","0"
"328","0"
"329","0"
"330","1"
"331","1"
"332","1"
"333","1"
"334","1"
"335","0"
"336","0"
"337","0"
"338","0"
"339","1"
"340","0"
"341","0"
"342","0"
"343","0"
"344","0"
"345","1"
"346","0"
"347","0"
"348","0"
"349","1"
"350","0"
"351","1"
"352","0"
"353","1"
"354","0"
"355","1"
"356","1"
"357","1"
"358","0"
"359","0"
"360","1"
"361","1"
"362","1"
"363","1"
"364","1"
"365","1"
"366","1"
"367","1"
"368","1"
"369","1"
"370","1"
"371","0"
"372","0"
"373","0"
"374","0"
"375","0"
"376","1"
"377","0"
"378","1"
"379","1"
"380","1"
"381","0"
"382","0"
"383","1"
"384","0"
"385","1"
"386","1"
"387","0"
"388","0"
"389","0"
"390","1"
"391","1"
"392","1"
"393","1"
"394","0"
"395","1"
"396","0"
"397","1"
"398","0"
"399","0"
"400","0"
"401","1"
